Exp,Model,Accuracy,Precision,Recall,F1
logs_resnet_128_705_test_2_dataset_val,Real 0,0.402,0.5781828229634456,0.40199999999999997,0.345368400303171
logs_resnet_128_705_test_2_dataset_val,Real 1,0.4502857142857143,0.5682519052562754,0.45028571428571423,0.4159337041079942
logs_resnet_128_705_test_2_dataset_val,Real 2,0.5074285714285715,0.5846240139001531,0.5074285714285715,0.47864896117992767
logs_resnet_128_705_test_2_dataset_val,Real 3,0.49342857142857144,0.5927308002519943,0.4934285714285714,0.4724526297684047
logs_resnet_128_705_test_2_dataset_val,Real 4,0.48742857142857143,0.6083705170697816,0.48742857142857143,0.4575864099624953
logs_resnet_128_705_test_2_dataset_val,Real 5,0.5548571428571428,0.5987318881545713,0.5548571428571429,0.5378932610226881
logs_resnet_128_705_test_2_dataset_val,Real 6,0.5074285714285715,0.5976849782825251,0.5074285714285713,0.4911363401970127
logs_resnet_128_705_test_2_dataset_val,Gen 0,0.3977142857142857,0.4298661881301621,0.3977142857142857,0.37375136263276315
logs_resnet_128_705_test_2_dataset_val,Gen 1,0.37714285714285717,0.42899345557124047,0.3771428571428571,0.36794668037745326
logs_resnet_128_705_test_2_dataset_val,Gen 2,0.4762857142857143,0.479778512150904,0.4762857142857143,0.47199419846943763
logs_resnet_128_705_test_2_dataset_val,Gen 3,0.4665714285714286,0.4964117793190949,0.4665714285714286,0.4525097928267323
logs_resnet_128_705_test_2_dataset_val,Gen 4,0.47685714285714287,0.4964024436963382,0.47685714285714287,0.47516256712879495
logs_resnet_128_705_test_2_dataset_val,Gen 5,0.47885714285714287,0.48913579553800174,0.47885714285714276,0.4669353797678986
logs_resnet_128_705_test_2_dataset_val,Gen 6,0.48142857142857143,0.49929101830311706,0.48142857142857143,0.4706006092171536
logs_resnet_128_705_test_2_dataset_val_2,Real 0,0.3962857142857143,0.5369931700297147,0.3962857142857143,0.34441651729815054
logs_resnet_128_705_test_2_dataset_val_2,Real 1,0.4442857142857143,0.5682090784982977,0.44428571428571434,0.39499119594897175
logs_resnet_128_705_test_2_dataset_val_2,Real 2,0.48828571428571427,0.5932722326082596,0.4882857142857143,0.46488673057299
logs_resnet_128_705_test_2_dataset_val_2,Real 3,0.4574285714285714,0.597635798603231,0.4574285714285714,0.42506572100813006
logs_resnet_128_705_test_2_dataset_val_2,Real 4,0.5082857142857143,0.6008414154883063,0.5082857142857142,0.47878950400984527
logs_resnet_128_705_test_2_dataset_val_2,Real 5,0.5414285714285715,0.6027368496677026,0.5414285714285715,0.5311669994568003
logs_resnet_128_705_test_2_dataset_val_2,Gen 0,0.41714285714285715,0.43926172254492296,0.41714285714285715,0.40756480823358043
logs_resnet_128_705_test_2_dataset_val_2,Gen 1,0.4362857142857143,0.46648929664134364,0.43628571428571433,0.41789942560604676
logs_resnet_128_705_test_2_dataset_val_2,Gen 2,0.46885714285714286,0.47152586760884213,0.46885714285714286,0.45877770144517466
logs_resnet_128_705_test_2_dataset_val_2,Gen 3,0.46285714285714286,0.4692248740239674,0.4628571428571429,0.45595218980181623
logs_resnet_128_705_test_2_dataset_val_2,Gen 4,0.4794285714285714,0.47968756182923,0.4794285714285714,0.47053197742480196
logs_resnet_128_705_test_2_dataset_val_2,Gen 5,0.4362857142857143,0.46158897218337497,0.4362857142857142,0.41881045615523116
logs_resnet_128_705_test_2_dataset_val_unique_labels,Gen 0,0.38971428571428574,0.43103601299576766,0.3897142857142857,0.3703545593285343
logs_resnet_128_705_test_2_dataset_val_unique_labels,Gen 1,0.44114285714285717,0.47692332819066724,0.44114285714285717,0.41696160900274204
logs_resnet_128_705_test_2_dataset_val_unique_labels,Gen 2,0.43342857142857144,0.4606328283246012,0.4334285714285714,0.4121013893506155
logs_resnet_128_705_test_2_dataset_val_unique_labels,Gen 3,0.452,0.46780772387980146,0.45200000000000007,0.4377138978048754
logs_resnet_128_705_test_2_dataset_val_unique_labels,Gen 4,0.47514285714285714,0.4875672589382569,0.47514285714285714,0.46236209360198455
logs_resnet_128_705_test_2_dataset_val_unique_labels,Gen 5,0.48342857142857143,0.49238016155948416,0.4834285714285715,0.474782730543866
logs_resnet_128_705_test_2_dataset_val_unique_labels,Gen 6,0.47,0.49864844161117106,0.4700000000000001,0.4550761114400338
logs_resnet_128_705_test_2_dataset_val_unique_labels,Gen 7,0.47314285714285714,0.4859517841149253,0.4731428571428572,0.4609194239918027
logs_resnet_128_705_test_2_dataset_val_unique_labels,Gen 8,0.4837142857142857,0.4962479965307052,0.4837142857142857,0.4745118133882492
